index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Natalya's Mark	63	Natalya's Odium	7qr	Scissors Suwayyah	7	22	79	dgry	dgry						5	5000		res-fire-max		15	15	att-undead		100	100	ac%		220	220	ltng-min		1	1	ltng-max		26	26	mana	0	60	60	swing2		20	20	regen-mana		10	10	hp/lvl	4			mag%		40	40	pois-min	0	143	143	res-ltng		7	7	pois-max	0	143	143	dmg-fire		30	30	pois-len	0	179	179	att/lvl	16			ac		75	75					openwounds		25	25		0
Natalya's Shadow	64	Natalya's Odium	ucl	Loricated Mail	7	22	73	dgry	dgry						5	5000		ac%		20	20	fireskill		1	1	abs-fire		15	15	red-mag		15	15	res-all		35	35	ac/lvl	24			dmg-demon		200	200	dmg-undead		50	50	allskills		1	1	res-all		15	15	death-skill	Blizzard	100	37	mana		15	15	dmg%		10	10	res-cold		25	25	red-mag		1	1	indestruct		1	1	enr		10	10	enr		6	6	oskill	44	5	5		0
Natalya's Soul	65	Natalya's Odium	xmb	Mesh Boots	7	22	25	dgry	dgry						5	5000		pal		2	2	dmg%		150	150	manasteal		8	8	allskills		1	1	ac%		75	75	stam		30	30	att	0	100	100	oskill	225	6	6	str		6	6	hit-skill	92	5	8	dmg%		60	60	dmg-pois	150	426	426	dmg-max		15	15	aura	Redemption	15	15	ease		-20	-20	noheal		1	1	red-dmg		20	20	manasteal		10	10	ignore-ac	1	1	1		0
Aldur's Stony Gaze	66	Aldur's Watchtower	dr8	Hunter's Guise	7	29	36	oran	oran						5	5000	2	att		40	40	ac-miss		50	50	dmg%		210	210	allskills		2	2	abs-fire%		20	20	regen		6	6	gold%		37	37	skilltab	4	1	1	block		10	10	cast1		20	20	light-thorns		7	7	dmg%		260	260	gold%		70	70	mag%		100	100	dmg-fire		250	250	att/lvl	24			half-freeze		1	1	dmg-pois	125	205	205	att	0	40	40		0
Aldur's Deception	67	Aldur's Watchtower	uul	Shadow Plate	7	29	76	oran	oran						5	5000	2	regen-mana		25	25	dmg-norm		20	20	res-all		30	30	ac		200	200	hit-skill	Twister	33	22	skilltab	12	3	3	freeze		2	2	ease		-40	-40	dmg-max		7	7	vit		7	7	att		35	35	deadly		20	20	fire-min	0	8	8	dmg-ltng		200	200	fire-max	0	12	12	skilltab	19	2	2	dmg-undead		50	50	regen-stam		10	10	noheal		1	1		0
Aldur's Gauntlet	68	Aldur's Watchtower	9mt	Jagged Star	7	29	42	oran	oran						5	5000	2	swing2		15	15	stupidity		1	1	dmg/lvl	10			block		20	20	dmg-demon		200	200	res-ltng		40	40	str		10	10	res-pois		30	30	red-mag		1	1	dex		10	10	res-pois		75	75	oskill	34	3	3	light-thorns		30	30	skilltab	20	1	1	ac%		75	75	att/lvl	33			str		16	16	mana		150	150	dmg-ltng		477	477		0
Aldur's Advance	69	Aldur's Watchtower	xtb	Battle Boots	7	29	45	oran	oran						5	5000	2	dex		10	10	red-mag		15	15	indestruct		1	1	swing2		40	40	mag%		25	25	res-all		10	10	block		55	55	ac		400	400	res-pois		12	12	ac		10	10	dru		1	1	dmg%		200	200	ethereal		1	1	att	0	100	100	dmg-demon		300	300	stam		16	16	mana		42	42	hp		30	30	dmg%	0	65	65		0
Immortal King's Will	70	Immortal King	ba5	Avenger Guard	7	37	47	lgry	lgry						5	5000		move3		7	7	hit-skill	66	5	1	res-all		35	35	fire-min		1	1	fire-max		6	6	dmg%		20	20	vit		10	10	indestruct		1	1	skilltab	17	3	3	dmg-max		9	9	ac%		60	60	aura	Conviction	12	12	att-und/lvl	20			ac/lvl	24			hit-skill	225	4	12	hp%		5	5	oskill	Holy Bolt	4	4	move1		10	10	regen		16	16		0
Immortal King's Soul Cage	71	Immortal King	uar	Sacred Armor	7	37	76	lgry	lgry						5	5000	2	mana		10	10	ac%		85	85	allskills		1	1	dmg%		240	240	oskill	Hydra	30	30	att-skill	Glacial Spike	25	18	aura	Fanaticism	15	15	dmg-min		8	8	skilltab	19	1	1	thorns		5	5	pois-min	0	16	16	extra-pois		5	5	pois-max	0	32	32	ac		100	100	pois-len	0	75	75	att		125	125	ac/lvl	16			state	fullsetgeneric	1	1	red-mag		2	2		0
Immortal King's Detail	72	Immortal King	zhb	War Belt	7	37	29	lgry	lgry						5	5000	2	res-pois		25	25	mana		40	40	lifesteal		12	12	skilltab	17	3	3	dmg-fire		210	210	res-fire		5	5	move1		10	10	mag%		7	7	ac		100	100	res-all		10	10	mana		15	15	dmg-ltng		212	212	cast2		20	20	ac%		150	150	mana%		40	40	allskills		1	1	dmg%		200	200	att	0	80	80	dmg-min		4	4		0
Immortal King's Forge	73	Immortal King	xhg	War Gauntlets	7	37	30	lgry	lgry						5	5000	2	dur		50	50	cast2		10	10	dmg%		300	300	ac%		150	150	all-stats		5	5	gold%		50	50	oskill	Molten Boulder	16	16	regen-mana		20	20	pal		3	3	ltng-min		1	1	dmg-fire		6	6	ltng-max		6	6	dmg-norm		50	50	swing2		40	40	dmg-pois	50	187	187	deadly		50	50	ac		175	175	mag%		50	50	gethit-skill	42	25	5		0
Immortal King's Pillar	74	Immortal King	xhb	War Boots	7	37	31	lgry	lgry						5	5000	2	lifesteal		5	5	balance2		30	30	dex		5	5	ac%		220	220	dmg%		80	80	res-fire	0	30	30	skilltab	11	1	1	hp		40	40	oskill	245	5	5	deadly		25	25	gethit-skill	44	10	5	move2		20	20	aura	Sanctuary	13	13	oskill	Plague Poppy	21	21	hp%		5	5	ac		30	30	mana		7	7	hp		20	20	bar		2	2		0
Immortal King's Stone Crusher	75	Immortal King	7m7	Ogre Maul	7	37	76	lgry	lgry						5	5000	2	mana%		40	40	dex		10	10	str		10	10	hp		20	20	manasteal		6	6	lifesteal		6	6	pois-min	0	143	143	pois-max	0	143	143	pois-len	0	179	179	swing2		30	30	dmg-undead		50	50	res-all		10	10	dmg-norm		50	50	block3		30	30	res-ltng	0	22	22	skilltab	13	1	1	att		20	20	ease		-30	-30	swing1		10	10		0
Tal Rasha's Fire-Spun Cloth	76	Tal Rasha's Wrappings	zmb	Mesh Belt	7	26	53	dpur	dpur						5	5000	2	regen		20	20	manasteal		5	5	res-cold		40	40	dmg%		200	200	str		20	20	enr		6	6	oskill	21	5	5	dmg-max		4	4	att		75	75	crush		25	25	dmg-min		2	2	sor		2	2	mana-kill		5	5	ac%		240	240	cold-min		7	7	pierce-immunity-light		300	300	cold-max		14	14	skilltab	7	1	1	dmg-cold	125	112	112		0
Tal Rasha's Adjudication	77	Tal Rasha's Wrappings	amu	Amulet	1	26	67	dpur	dpur						5	5000	2	manasteal		5	5	hp		15	15	swing3		30	30	reduce-ac		20	20	dex		15	15	att	0	100	100	dmg%	0	30	30	mana/lvl	6			ac		150	150	dmg-ltng		40	40	res-fire		75	75	str		10	10	ac-miss		50	50	dmg/lvl	8			dmg%		170	170	att%		250	250	move2		20	20	dmg%		375	375	block		30	30		0
Tal Rasha's Lidless Eye	78	Tal Rasha's Wrappings	oba	Swirling Crystal	7	26	65	dpur	dpur						5	5000	2	att-undead		40	40	str		10	10	att		150	150	red-dmg%		10	10	regen-mana		25	25	res-all		30	30	openwounds		100	100	oskill	58	3	3	skilltab	9	2	2	dmg-pois	50	187	187	dmg%		40	40	res-pois		25	25	str		8	8	ac%		100	100	res-all		15	15	red-dmg		3	3	hp		5	5	oskill	77	7	7	enr		10	10		0
Tal Rasha's Howling Wind	79	Tal Rasha's Wrappings	uth	Lacquered Plate	7	26	71	dpur	dpur						5	5000	2	skilltab	12	2	2	mana-kill		2	2	extra-cold		20	20	ac		15	15	swing2		20	20	lifesteal		9	9	str		5	5	hit-skill	48	10	3	manasteal		10	10	dmg%		330	330	ac		30	30	aura	Might	17	17	pierce-cold		60	60	ac/lvl	16			att/lvl	20			ease		-40	-40	skilltab	19	2	2	oskill	36	10	10	dru		1	1		0
Tal Rasha's Horadric Crest	80	Tal Rasha's Wrappings	xsk	Death Mask	7	26	66	dpur	dpur						5	5000		half-freeze		1	1	res-cold		20	20	ac		20	20	res-all		40	40	manasteal		8	8	skilltab	6	2	2	move1		10	10	pierce-immunity-cold		300	300					gethit-skill	Fade	5	8	att-skill	Charged Bolt	20	20	dex		10	10	hit-skill	Tornado	10	9	swing2		20	20	res-cold		25	25	skilltab	5	3	3	skilltab	14	2	2					oskill	86	5	5		0
Griswold's Valor	81	Griswold's Legacy	urn	Corona	7	44	69	dgld	dgld						5	5000	2	balance2		30	30	ama		1	1	dmg-pois	150	192	192	dmg%		200	200	noheal		1	1	block		20	20	cold-min		3	3	cold-max		5	5	ac		300	300	dmg-max		15	15	res-fire-max		10	10	ac%		100	100	mana%		15	15	pierce-fire		20	20	balance3		24	24	stupidity		1	1	gethit-skill	48	10	3	move3		30	30	fire-max	0	24	24		0
Griswold's Heart	82	Griswold's Legacy	xar	Ornate Plate	7	44	45	dgld	dgld						5	5000		ac		25	25	ac%		30	30	gethit-skill	92	9	6	allskills		4	4	crush		25	25	res-ltng	0	16	16	dmg-max		20	20	dex		10	10	att%	0	20	20	hit-skill	234	5	7	hp		66	66	dur		15	15	ac%		220	220	gold%		160	160	oskill	76	3	3	light-thorns		4	4	ltng-min		1	1	oskill	139	7	7	ltng-max		17	17		0
Griswolds's Redemption	83	Griswold's Legacy	7ws	Caduceus	7	44	53	dgld	dgld						5	5000	2	dmg-demon		50	50	swing2		50	50	pal	0	2	2	ac-miss		30	30	regen		10	10	res-all		20	20	dmg-undead	0	54	54	manasteal		6	6					dmg-cold		180	180	att		35	35	pierce-fire		15	15	ac%		180	180	dmg-undead		50	50	str/lvl	3			res-all		20	20	gold%		75	75					dmg%		40	40		0
Griswold's Honor	84	Griswold's Legacy	paf	Vortex Shield	7	44	68	dgld	dgld						5	5000		ltng-min		1	1	ltng-max		180	180	sor		3	3	skilltab	1	2	2	dmg-demon		380	380	dmg-undead		50	50	allskills		2	2	res-fire		20	20	stupidity		10	10	gethit-skill	59	5	0	dmg-norm		30	30	dex		15	15	dex		25	25	half-freeze		1	1	str		30	30	str		9	9	hp		5	5	manasteal	0	5	5	thorns		3	3		0
Trang-Oul's Guise	85	Trang-Oul's Avatar	uh9	Bone Visage	7	32	65	dgld	dgld						5	5000		abs-fire		10	10	cast2		20	20	ac		210	210	swing2		40	40	str		20	20	red-dmg%		25	25	hp		15	15	res-fire		25	25	res-all	0	10	10	red-mag		11	11	ac%		200	200	res-all		10	10	cast3		30	30	manasteal		5	5	res-fire		11	11	dmg-to-mana	0	10	10	att%		30	30	hp		100	100						0
Trang-Oul's Scales	86	Trang-Oul's Avatar	xul	Chaos Armor	7	32	49	dyel	dyel						5	5000	2	mana-kill		5	5	balance2		20	20	light		5	5	lifesteal	0	2	2	res-cold-max		5	5	indestruct		1	1	mana		52	52	str		5	5	att		75	75	ac%		40	40	res-fire-max		5	5	gethit-skill	38	12	4	res-ltng	0	40	40	dmg-pois	75	171	171	ac/lvl	4			fire-min	0	10	10	thorns		6	6	fire-max	0	16	16	dmg-undead	0	200	200		0
Trang-Oul's Wing	87	Trang-Oul's Avatar	ne9	Cantor Trophy	7	32	54	dyel	dyel						5	5000	2	hit-skill	56	2	4	res-all		50	50	ac%		120	120	att%		180	180	dmg%		375	375	nofreeze		1	1	thorns		30	30	res-fire		50	50	res-cold		12	12	ac%		150	150	reduce-ac		50	50	att		330	330	bar		2	2	ac		400	400	slow		25	25	dmg-max		6	6	ac%		75	75	oskill	86	2	2	res-pois		20	20		0
Trang-Oul's Claws	88	Trang-Oul's Avatar	xmg	Heavy Bracers	7	32	45	dyel	dyel						5	5000		dmg%		60	60	lifesteal		9	9	thorns		77	77	res-all		20	20	block		20	20	res-pois		30	30	ease		-40	-40	dmg-pois	75	36	36	oskill	106	4	4	res-fire		50	50	str		10	10	regen		20	20	swing3		40	40	dmg-norm		100	100	att%		75	75	dmg%		30	30	ac%		170	170	str		2	2	att		77	77		0
Trang-Oul's Girth	89	Trang-Oul's Avatar	utc	Troll Belt	7	32	47	dyel	dyel						5	5000	2	manasteal		5	5	dmg-norm		20	20	dmg-fire		65	65	ac		200	200	gethit-skill	Fade	5	8	dmg%		400	400	res-fire		20	20	dex		15	15	balance2		30	30	res-all		5	5	dmg-und/lvl	16			hit-skill	Volcano	23	12	cast2		30	30	hp/lvl	8			balance3		55	55	dmg-max		4	4	ac		50	50	mana		150	150	manasteal		7	7		0
M'avina's True Sight	90	M'avina's Battle Hymn	ci3	Diadem	7	21	59	whit	whit						5	5000	2	light		-3	-3	thorns		25	25	hp/lvl	8			hit-skill	Static Field	7	13	res-all		40	40	res-cold		40	40	red-dmg%		25	25	ac		20	20	oskill	12	8	8	regen-mana		20	20	ac%		180	180	oskill	61	1	1	manasteal		5	5	str		20	20	regen		5	5	skilltab	20	3	3	hp		60	60	half-freeze		1	1	mana	0	25	25		0
M'avina's Embrace	91	M'avina's Battle Hymn	uld	Kraken Shell	7	21	70	whit	whit						5	5000	2	hit-skill	87	5	1	block		25	25	att%		200	200	skilltab	20	1	1	nofreeze		1	1	oskill	Hydra	30	30	dmg%		50	50	res-fire		50	50	res-ltng		10	10	gethit-skill	71	6	3	block2		30	30	res-ltng		25	25	allskills		2	2	res-all		5	5	res-cold		18	18	str		1	1	ac	0	8	8	allskills		2	2	res-pois	0	20	20		0
M'avina's Icy Clutch	92	M'avina's Battle Hymn	xtg	Battle Gauntlets	7	21	32	whit	whit						5	5000	2	heal-kill		10	10	dmg-und/lvl	60			abs-cold%		25	25	dmg-max		3	3	nec		2	2	att%		40	40	oskill	74	4	4	fire-min		9	9	fire-max		27	27	att		100	100	red-mag		1	1	hp%		25	25	cheap		15	15	hp/lvl	8			mana		50	50	block		30	30	crush		35	35	res-pois	0	30	30	stam		50	50		0
M'avina's Tenet	93	M'avina's Battle Hymn	zvb	Sharkskin Belt	7	21	45	whit	whit						5	5000	2	cold-min		4	4	cold-max		8	8	cold-len		75	75	dur		25	25	light-thorns		15	15	mana		7	7	dmg%		190	190	ac/lvl	10			res-all		40	40	ac		12	12	dmg%		280	280	swing2		20	20	dmg-mag		240	240	indestruct		1	1	oskill	72	6	6	extra-ltng		5	5	fire-min		18	18	abs-mag		8	8	fire-max		36	36		0
M'avina's Caster	94	M'avina's Battle Hymn	amc	Grand Matron Bow	7	21	70	whit	whit						5	5000	2	hp		30	30	dex		20	20	regen-mana		16	16	ac		100	100	mana		20	20	ltng-min		6	6	ltng-max		120	120	gethit-skill	48	14	5	res-all	0	8	8	skilltab	8	2	2	dmg-pois	75	40	40	oskill	17	3	3	ac%		100	100	res-fire		50	50	dex		5	5	ac		100	100	dmg-fire		500	500	att		300	300	att-skill	Nova	15	22		0
Telling of Beads	95	The Disciple	amu	Amulet	1	39	30	lblu	lblu						5	5000		att		100	100	deadly		50	50	ac/lvl	16			dmg-fire		200	200	allskills		1	1	pierce-ltng		5	5	balance2		20	20	ac		8	8	move2		20	20	light		3	3	light		5	5	ac%		210	210	ac		25	25	extra-pois		5	5	fire-min		2	2	ac		400	400	fire-max		3	3	mana		15	15	res-pois		90	90		0
Laying of Hands	96	The Disciple	ulg	Bramble Mitts	7	39	63	lblu	lblu						5	5000		nec		1	1	light		-3	-3	res-all		10	10	enr		20	20	str		30	30	oskill	Spirit of Barbs	7	7	balance2		10	10	hit-skill	Decrepify	30	1	res-ltng		30	30	str		15	15	vit		8	8	dmg%		200	200	openwounds		30	30	vit		2	2	enr		30	30	dmg-demon		150	150	att/lvl	16			pal	0	1	1	dex		5	5		0
Rite of Passage	97	The Disciple	xlb	Demonhide Boots	7	39	29	lblu	lblu						5	5000		dur		20	20	dmg-ltng		473	473	dex		15	15	dmg%		20	20	res-pois		95	95	hit-skill	59	6	5	ac%		200	200									manasteal		100	100	dmg-pois	100	102	102	light		2	2	res-all		20	20	res-pois		40	40	att	0	40	40	stam		50	50	ignore-ac		1	1	nofreeze		1	1	hp		30	30		0
Spiritual Custodian	98	The Disciple	uui	Dusk Shroud	7	39	43	lblu	lblu						5	5000		dmg-mag		10	10	dmg%		50	50	mana-kill		5	5	sock		3	3	red-mag		2	2	demon-heal		15	15	regen		30	30	allskills		1	1	att%	0	25	25	dmg%		200	200	vit		15	15	ac%		150	150	rep-dur	5			sock		3	3	att-skill	Nova	15	22	stam		30	30	ac%		30	30	dmg-min		13	13	res-pois		25	25		0
Credendum	99	The Disciple	umc	Mithril Coil	7	39	65	lblu	lblu						5	5000		att%		20	20	res-all		10	10	ac-miss		50	50	regen-stam		30	30	oskill	84	2	2	res-pois	0	30	30	att		250	250	mana		20	20	lifesteal		5	5	dmg%		200	200	ac		15	15	ama		2	2	mana		25	25	aura	Holy Fire	14	14	dmg-pois	75	36	36	dmg-max		10	10	vit		10	10	res-cold		5	5	ease		-20	-20		0
Dangoon's Teaching	100	Heaven's Brethren	7ma	Reinforced Mace	7	55	68								5	5000		dmg-pois	200	192	192	dmg-cold	100	397	397	ac%		120	120	hp		50	50	ac		120	120	mag%		25	25	dmg%		200	200	crush		35	35	att		42	42	ac		10	10	vit		20	20	dmg%		200	200	pierce-pois		50	50	balance2		20	20	oskill	Heart of Wolverine	5	5	res-all		11	11	ignore-ac		1	1	res-cold		15	15	att	0	20	20		0
Heaven's Taebaek	101	Heaven's Brethren	uts	Ward	7	55	81								5	5000		regen		10	10	oskill	Summon Fenris	15	15	dmg-pois	50	255	255	swing2		20	20	res-pois		35	35	block2		20	20	res-ltng	0	30	30	res-pois-len		25	25	hp		30	30	crush		45	45	swing3		30	30	move2		20	20	dmg%		100	100	rep-dur	10			light		-1	-1	extra-fire		15	15	ac		50	50	ac		100	100	move3		40	40		0
Haemosu's Adament	102	Heaven's Brethren	xrs	Cuirass	7	55	44								5	5000		att		60	60	ac		150	150	nofreeze		1	1	gethit-skill	56	2	0	cast2		25	25	att%		20	20	gold%		120	120	oskill	81	3	3	state	fullsetgeneric	1	1	res-pois		50	50	manasteal		7	7	dur		15	15	swing3		30	30	att		330	330	res-all		30	30	dmg%		80	80	str		50	50	lifesteal		6	6	stamdrain		50	50		0
Ondal's Almighty	103	Heaven's Brethren	uhm	Spired Helm	7	55	69								5	5000		swing3		30	30	hit-skill	45	10	3	stam		50	50	dmg-undead		50	50	mag%		35	35	ltng-min		1	1	ltng-max		9	9	light		-2	-2	red-dmg		11	11	str		25	25	swing2		15	15	stupidity		1	1	ac-miss		250	250	ac-miss		250	250	dex		15	15	abs-ltng%		15	15	res-all		25	25	skilltab	4	1	1	gethit-skill	Confuse	10	15		0
Guillaume's Face	104	Orphan's Call	xhm	Winged Helm	7	41	34	lgry	lgry						5	5000		swing1		10	10	res-all		10	10	dmg-to-mana		15	15	dmg%/lvl	16			oskill	74	4	4	regen		8	8	manasteal	0	2	2	red-mag	0	1	1	lifesteal		6	6	fireskill		2	2	att		100	100	res-pois		50	50	res-ltng		25	25	dmg-ltng		305	305	half-freeze		1	1	dmg-max		20	20	dmg-norm		27	27	oskill	225	6	6	aura	Cleansing	17	17		0
Wilhelm's Pride	105	Orphan's Call	ztb	Battle Belt	7	41	42	lgry	lgry						5	5000		dmg-ltng		250	250	mag%		7	7	hit-skill	Life Tap	15	5	ac%		160	160	fire-min		170	170	fire-max		240	240	freeze		3	3	oskill	93	1	1					str		15	15	hit-skill	121	5	7	dmg%		220	220	ac		25	25	dmg-fire		480	480	res-pois-len		75	75	balance2		20	20	ass		3	3										0
Magnus' Skin	106	Orphan's Call	xvg	Sharkskin Gloves	7	41	37	lgry	lgry						5	5000		dex		10	10	regen		5	5	dmg%		160	160	ac-miss		100	100	crush		50	50	abs-ltng		20	20	hp%		20	20	mana		5	5	mag%	0	40	40	vit		20	20	dmg%		60	60	cast2		25	25	dmg-cold		44	44	ac%		100	100	dmg-ltng		501	501	ac-miss		30	30	dmg-pois	100	205	205	ease		-15	-15	dmg-undead		200	200		0
Wihtstan's Guard	107	Orphan's Call	xml	Round Shield	7	41	29	lgry	lgry						5	5000		gold%		50	50	enr		6	6	abs-fire%		30	30	dmg%		90	90	fire-min		9	9	fire-max		20	20	skilltab	12	1	1	red-mag		10	10	crush		45	45	ac-miss		100	100	swing2		20	20	dmg%		165	165	dmg%		35	35	swing2		30	30	pois-min	0	51	51	dmg-cold	3	38	38	pois-max	0	51	51	thorns	0	12	12	pois-len	0	100	100		0
Hwanin's Splendor	108	Hwanin's Majesty	xrn	Grand Crown	7	28	45								5	5000		ac/lvl	30			gethit-skill	54	25	1	mana-kill		5	5	swing2		30	30	kill-skill	Chain Lightning	50	20	balance2		25	25	red-dmg%		15	15	hp		40	40	oskill	8	4	4	res-ltng/lvl	8			dmg%		150	150	dmg-max		10	10	skilltab	0	2	2	swing2		20	20	oskill	96	10	10	res-all		20	20	dmg-pois	150	86	86	oskill	96	6	6	block		30	30		0
Hwanin's Refuge	109	Hwanin's Majesty	xcl	Tigulated Mail	7	28	30								5	5000		manasteal		7	7	swing2		20	20	res-all		5	5	abs-fire%		15	15	ac%		200	200	ease		-20	-20	indestruct		1	1	dex		20	20	vit		10	10	dmg%		320	320	dmg%		180	180	res-ltng-max		5	5	res-all-max		15	15	sock		5	5	mana		7	7	dmg-pois	50	175	175	dmg-max		4	4	oskill	81	6	6	pal		3	3		0
Hwanin's Seal	110	Hwanin's Majesty	mbl	Belt	7	28	35								5	5000		ac		25	25	hit-skill	72	5	5	hp		25	25	att		250	250	gethit-skill	Fade	6	11	regen		4	4	dmg%		50	50	red-mag		10	10	att-undead		75	75	res-all		10	10	str		30	30	block		10	10	skilltab	14	3	3	hp		50	50	fire-min		23	23	manasteal		6	6	fire-max		54	54	skilltab	10	1	1	mana		10	10		0
Hwanin's Justice	111	Hwanin's Majesty	9vo	Bill	7	28	28								5	5000		red-dmg%		10	10	lifesteal		8	8	cold-min		1	1	cold-max		4	4	cold-len		125	125	res-all		50	50	swing2		20	20	thorns		15	15	mana		26	26	enr		15	15	regen	0	3	3	hp		50	50	manasteal		8	8	reduce-ac		25	25	ltng-min		1	1	att		75	75	ltng-max		8	8	swing2		20	20	str		4	4		0
Sazabi's Cobalt Redeemer	112	Sazabi's Grand Tribute	7ls	Cryptic Sword	7	34	73	dblu	dblu						5	5000		ac		25	25	mana		15	15	regen		20	20	thorns		47	47	att/lvl	16			skilltab	8	3	3	vit		15	15	levelup-skill	Blaze	100	36	att-skill	53	5	3	enr		5	5	dex		10	10	res-fire		70	70	dmg%		175	175	mana		40	40	oskill	55	3	3	res-cold		10	10	stupidity		1	1	swing1		10	10						0
Sazabi's Ghost Liberator	113	Sazabi's Grand Tribute	upl	Balrog Skin	7	34	67	dblu	dblu						5	5000		ac%		220	220	hit-skill	66	4	1	hp%		20	20	dmg/lvl	20			dmg-to-mana		10	10	mag%		80	80	oskill	Revive	20	20	res-all		30	30	str		5	5	res-all		5	5	gold%		75	75	crush		25	25	dmg%		5	5	ama		2	2	allskills		2	2	swing2		35	35	str		20	20	hit-skill	Venom	35	15	pierce-pois		25	25		0
Sazabi's Mental Sheath	114	Sazabi's Grand Tribute	xhl	Basinet	7	34	43	dblu	dblu						5	5000		res-pois		12	12	str		35	35	lifesteal		6	6	dmg%		200	200	ltng-min		1	1	ltng-max		20	20	att%		20	20	res-cold	0	16	16	oskill	102	6	6	enr		20	20	oskill	233	1	1	block2		20	20	red-dmg%		20	20	att/lvl	20			hit-skill	Fire Ball	5	15	hit-skill	Charged Bolt	11	9	allskills		1	1					res-all		50	50		0
Bul-Kathos' Sacred Charge	115	Bul-Kathos' Children	7gd	Colossus Blade	7	50	61	dgrn	dgrn						5	5000		ltng-min		1	1	ltng-max		38	38	oskill	Attract	17	17	gethit-skill	Slow Missiles	4	5	swing2		40	40	res-ltng		9	9	res-cold		15	15	block2		25	25	abs-fire		11	11	dmg-mag		10	10	light		-2	-2	ac%		10	10	sor		3	3	pal		2	2	dmg-ltng		473	473	nofreeze		1	1	light-thorns		5	5	ac		500	500	ac		15	15		0
Bul-Kathos' Tribal Guardian	116	Bul-Kathos' Children	7wd	Mythical Sword	7	50	54	dgrn	dgrn						5	5000		dmg%		120	120	freeze		1	1	str		5	5	hp		50	50	ac%		190	190	sock		5	5	mag%		3	3	res-fire		10	10	dmg-demon		200	200	mag%		30	30	hit-skill	121	6	7	res-all		50	50	dmg%		270	270	extra-ltng		15	15	res-pois		35	35	balance3		30	30	hp		40	40	res-cold		10	10	oskill	16	6	6		0
Cow King's Horns	117	Cow King's Leathers	xap	War Hat	7	20	25								5	5000		str		8	8	swing2		20	20	res-fire		30	30	ignore-ac		1	1	hp%		5	5	ease		-60	-60	ac		8	8	dmg-max		5	5	res-ltng		7	7	manasteal		3	3	gethit-skill	59	4	6	ac-miss		250	250	res-fire-max		5	5	res-ltng		30	30	att		200	200	dmg-pois	75	36	36	dmg/lvl	8			thorns		14	14	light		1	1		0
Cow King's Hide	118	Cow King's Leathers	stu	Studded Leather	7	20	18								5	5000		light		5	5	ignore-ac		1	1	dmg-fire		36	36	dex		5	5	str		50	50	mana		20	20	dmg-cold	150	364	364	res-all		20	20	res-pois		5	5	att		100	100	light		-2	-2	red-mag		1	1	ac%		200	200	ac-miss		50	50	oskill	Skeleton Mastery	2	2	dmg-norm		50	50	hit-skill	Frozen Orb	9	11	ac%		190	190	mag%		7	7		0
Cow King's Hoofs	119	Cow King's Leathers	vbt	Heavy Boots	7	20	13								5	5000		hit-skill	Nova	10	15	noheal		1	1	ltng-min		1	1	ltng-max		16	16	dmg-pois	125	103	103	skilltab	10	2	2	swing3		40	40	red-mag		3	3	str		5	5	hp%		5	5	dmg%		240	240	ac%		40	40	allskills		2	2	mana		10	10	skilltab	1	2	2	dmg-max		7	7	mana/lvl	2			str		20	20	oskill	43	8	8		0
Naj's Puzzler	120	Naj's Ancient Set	6cs	Elder Staff	7	43	78								5	5000		dex		15	15	dmg-cold	100	397	397	dmg%		330	330	res-ltng	0	30	30	mana		34	34	dmg-max		4	4	thorns		6	6	hp		15	15	oskill	56	2	2	ease		-10	-10	dur		30	30	mana		46	46	dmg%		160	160	skilltab	10	3	3	ac-miss		250	250	move2		20	20	ac		20	20	res-all		50	50	mana/lvl	2				0
Naj's Light Plate	121	Naj's Ancient Set	ult	Hellforge Plate	7	43	71								5	5000		nec		2	2	red-mag		1	1	ac%		100	100	ac		15	15	indestruct		1	1	dmg-fire		45	45	noheal		1	1	dex		10	10	att		75	75	att		35	35	ac%		20	20	dmg%		50	50	dmg%		260	260	skilltab	16	2	2	str	0	4	4	ignore-ac		1	1	att-skill	49	5	3	slow	0	35	35	lifesteal		5	5		0
Naj's Circlet	122	Naj's Ancient Set	ci0	Circlet	7	43	28								5	5000		res-fire-max		10	10	dmg-elem		160	160	skilltab	11	2	2	sock		4	4	dmg-norm		20	20	att		8	8	hp		40	40	str		2	2	oskill	56	2	2	att-skill	53	5	0	cast3		50	50	skilltab	10	2	2	rip		1	1	att		10	10	pois-min	0	51	51	att-demon		300	300	pois-max	0	51	51	dex		5	5	pois-len	0	100	100		0
