index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Iceblink	87	0	1			1		30	22	spl	Splint Mail		5	5000	lgld	lgld						fire-min		1	1	fire-max		2	6	ease		-25	-25	res-ltng		15	15	gold%		250	250	allskills		1	1	dmg-undead		50	50	ac		125	125	oskill	48	2	2	dmg%		240	270	res-all		10	10	ac%		80	80		0
Boneflesh	88	0	1			1		35	26	plt	Plate Mail		5	5000	dgld	dgld						red-mag		2	2	balance2		30	30	gethit-skill	121	5	7	ac%		70	70	dmg%		10	20	res-ltng		60	60	oskill	264	9	13	att		50	50	mag%		1	4	mana		41	60	res-pois		6	7	dmg-pois	100	128	128		0
Rockfleece	89	0	1			1		38	28	fld	Field Plate		5	5000	dgry	dgry						mana		13	13	hp		15	15	ac-miss		100	100	thorns		47	47	balance2		30	30	pierce-pois		3	5	abs-mag		9	11	dmg-fire		150	210	swing3		40	40	skilltab	1	1	1	mana%		20	20	regen-mana		15	15		0
Rattlecage	90	0	1			1		39	29	gth	Gothic Plate		5	5000	dpur	dpur						res-fire		50	50	manasteal		4	10	res-pois		50	50	enr		15	15	swing3		30	30	deadly		50	50	red-dmg%		35	35	fireskill		2	2	att%		100	150	skilltab	0	3	3	att/lvl	20			dex		3	5		0
Goldskin	91	0	1			1		38	28	ful	Full Plate Mail		5	5000	oran			invfulu				dmg-fire		15	35	freeze		1	1	ama		1	2	stam		40	40	reanimate	1	10	10	pierce-immunity-poison		300	300	vit		24	24	res-ltng		35	35	rep-dur	5			oskill	126	6	6	manasteal	0	6	6	pal		3	3		0
Victors Silk	92	0	1			1		38	28	aar	AncientArmor		5	5000	dblu			invaaru				swing1		10	10	dmg%		150	250	abs-fire		10	10	dur		50	50	manasteal		4	7	res-pois		100	100	oskill	Berserk	1	1	dmg-demon		220	350	enr		15	15	dru		2	2	dmg-max		8	10	regen-mana		12	12		0
Heavenly Garb	93	0	1			1		39	29	ltp	Light Plate		5	5000	cblu	cblu						ac		14	14	dmg-ltng		1	150	abs-fire		10	10	dur		125	125	dex		5	5	slow		20	20	dmg-demon		200	200	gethit-skill	Howl	3	1	res-cold		40	40	block3		30	30	att-skill	36	10	4	att		200	200		0
Pelta Lunata	94	0	1			1		3	2	buc	Buckler		5	5000	whit			invbucu				att		50	100	dmg%		130	160	ac-miss		50	50	ac%		170	200	oskill	Oak Sage	15	2	vit		8	15	red-dmg		4	7	aura	Holy Shock	15	15	skilltab	11	2	2	att%		50	50	half-freeze		1	1	res-all	0	11	11		0
Umbral Disk	95	0	1			1		12	9	sml	Small Shield		5	5000	lgry			invsmlu				hit-skill	53	5	10	mana		40	40	res-all		20	30	light-thorns		27	27	lifesteal		3	5	dmg%		200	280	noheal		1	1	nofreeze		1	1	dmg-cold	50	25	75	indestruct		1	1	block		20	20	oskill	72	5	5		0
Stormguild	96	0	1			1		18	13	lrg	Large Shield		5	5000	dgry			invlrgu				allskills		2	2	dmg-cold	150	27	53	dmg-min		4	5	oskill	Redemption	2	4	ac		25	25	dru		2	2	cold-min		1	2	cold-max		2	4	dex		20	20	mana		15	15	red-mag		10	15	dmg%		20	40		0
Wall of the Eyeless	97	0	1			1		27	20	bsh	Bone Shield		5	5000	lgld			invbshu				red-mag		1	1	res-fire-max		10	10	dex		15	15	dmg%		120	150	hit-skill	66	4	1	vit		20	20	death-skill	Nova	100	44	balance2		20	20	light		4	4	res-cold-max		5	5	att		81	100	rep-dur	5				0
Swordback Hold	98	0	1			1		20	15	spk	Spiked Shield		5	5000	lred			invspku				manasteal		15	15	swing3		30	30	res-fire		25	40	dmg-pois	100	204	204	light		3	3	red-mag		4	6	ac		15	15	cold-min		2	4	cold-max		4	8	fire-min		3	3	fire-max		6	6	res-cold		40	50		0
Steelclash	99	0	1			1		23	17	kit	Kite Shield		5	5000	blac			invkitu				res-fire-max		10	10	ltng-min		1	1	ltng-max		10	10	res-fire		13	15	dex		3	3	hp		15	15	allskills		1	1	str		20	20	oskill	112	3	3	dmg-to-mana		5	5	swing2		50	50	ac%		20	30		0
Bverrit Keep	100	0	1			1		26	19	tow	Tower Shield		5	5000	lblu			invtowu				dmg-min		5	5	sor		1	1	ac		25	25	ac%		80	100	dex		10	10	block		25	25	move2		30	30	swing2		40	40	skilltab	6	2	2	lifesteal		3	4	thorns		1	1	balance2		30	30		0
The Ward	101	0	1			1		35	26	gts	Gothic Shield		5	5000	dblu			invgtsu				cast2		35	35	mana-kill		1	1	res-cold-max		15	15	skilltab	12	3	3	oskill	35	3	3	enr		10	10	res-ltng	0	11	20	ac		15	15	indestruct		1	1	dmg%		165	165	dex		20	20						0
The Hand of Broc	102	0	1			1		7	5	lgl	Gloves		5	5000	cblu	cblu						swing2		30	30	dmg%		175	175	dmg-norm		20	40	ac-miss		50	50	cast2		20	20	heal-kill		5	7	pierce-pois		3	5	move2		25	25	allskills		1	1	ease		-40	-40	res-pois-len		50	50	dmg-max		1	1		0
Bloodfist	103	0	1			1		12	9	vgl	Heavy Gloves		5	5000	oran	oran						hp/lvl	8			fire-min		81	120	fire-max		131	180	rep-dur	20			res-all		40	40	swing1		10	10	light		4	4	noheal		1	1	pierce-immunity-damage		300	300	res-pois		26	30	ac		25	25	oskill	14	6	6		0
Chance Guards	104	0	1			1		20	15	mgl	Bracers		5	5000	lred	lred						oskill	53	3	3	dmg%		100	100	ac/lvl	32			light		5	5	ltng-min		1	1	ltng-max		8	8	dur		15	20	red-dmg		2	2	move2		25	25	ac-miss		30	30	balance2		20	20	skilltab	9	1	1		0
Magefist	105	0	1			1		31	23	tgl	Light Gauntlets		5	5000	lgry	lgry						mana		15	15	hit-skill	Poison Explosion	15	9	dmg-ltng		1	511	ac%		50	80	lifesteal		6	6	gethit-skill	Dim Vision	15	3	gold%/lvl	15			extra-fire		8	15	dmg%	0	51	65	res-cold		31	40	dex		16	20	res-pois-len		50	50		0
Frostburn	106	0	1			1		39	29	hgl	Gauntlets		5	5000	dred	dred						swing3		40	40	skilltab	20	1	1	ac-miss		100	100	regen	0	5	5	cold-len	0	100	100	regen-stam		30	30	pois-min	0	34	34	pois-max	0	34	34	pois-len	0	75	75	res-fire		30	30	ac%		90	120	demon-heal		5	10		0
Hotspur	107	0	1			1		7	5	lbt	Leather Boots		5	5000	cred	cred						half-freeze		1	1	enr		15	15	str		20	20	cold-min		24	45	cold-max		91	140	ltng-min		1	1	ltng-max		261	360	ac%		170	220	dmg-max		20	20	dex		1	2	light		4	4	ac		36	36		0
Gorefoot	108	0	1			1		12	9	vbt	Heavy Boots		5	5000	dblu	dblu						deadly		25	25	dmg%		230	270	att		20	20	swing3		30	30	res-cold	0	12	12	lifesteal		7	10	fire-min		10	20	fire-max		21	75	gold%		250	250	mana-kill		1	3	balance2		20	20	dex		10	10		0
Treads of Cthon	109	0	1			1		20	15	mbt	Chain Boots		5	5000	lgrn	lgrn						oskill	69	3	3	hp/lvl	12			freeze		4	4	res-cold		-90	-70	skilltab	10	2	2	dmg-undead	0	54	54	res-pois		31	40	dmg-pois	150	171	171	regen		1	4	manasteal		3	3	dmg-max		3	4	res-all		50	50		0
Goblin Toe	110	0	1			1		30	22	tbt	Light Plate Boots		5	5000	dgry	dgry						block2		40	40	dmg-pois	75	40	40	dmg%		130	200	hit-skill	234	5	7	mag%		30	50	vit		20	20	skilltab	14	2	3	ac		261	261	ac%		50	50	stam		180	180	stamdrain		15	15	dex		10	10		0
Tearhaunch	111	0	1			1		39	29	hbt	Plate Boots		5	5000	dgrn	dgrn						slow		50	50	ac%		30	50	dur		10	15	nofreeze		1	1	skilltab	17	3	3	oskill	22	3	3	gold%/lvl	25			dmg-undead		50	50	att		49	76	mana		40	46	gold%		10	30	hp		41	60		0
Lenyms Cord	112	0	1			1		10	7	lbl	Sash		5	5000	cgrn	cgrn						mana		30	30	att		50	50	red-mag		1	1	res-pois		25	25	att%		100	100	res-all		75	75	crush		40	40	dmg%		230	280	gold%/lvl	25			move3		30	30	ac		44	50	balance1		5	5		0
Snakecord	113	0	1			1		16	12	vbl	Light Belt		5	5000	blac	blac						lifesteal		5	5	res-fire		50	50	regen		12	12	mag%/lvl	10			regen-mana		10	10	skilltab	8	1	3	extra-ltng		10	15	stam		150	150	pal	0	2	2	red-dmg		2	2	dmg-max		2	2	mag%		65	65		0
Nightsmoke	114	0	1			1		27	20	mbl	Belt		5	5000	lyel	lyel						enr		4	6	fire-min		2	2	fire-max		3	4	crush		25	25	res-ltng		-90	-70	mana	0	41	60	res-all		15	15	res-fire		15	20	dmg-fire		35	95	gethit-skill	93	5	10	move2		15	15	ac		25	25		0
Goldwrap	115	0	1			1		36	27	tbl	Heavy Belt		5	5000	lblu	lblu						att		60	60	oskill	129	3	3	gethit-skill	92	5	5	dmg-ltng		23	333	ease		-50	-50	mana		50	75	res-all		8	8	block3		30	30	res-pois		13	15	gold%		80	120	dmg-min		5	10	ac		50	50		0
Bladebuckle	116	0	1			1		39	29	hbl	Girdle		5	5000	dyel	dyel						dmg%		140	170	regen-mana		16	16	swing2		20	20	ltng-min		1	1	ltng-max		3	6	hit-skill	Valkyrie	2	15	ac-miss		230	230	mana-kill		5	5	skilltab	12	2	2	regen-stam		15	15	dex		10	10	oskill	43	5	5		0
Nokozan Relic	117	0	1			1		14	10	amu	Amulet		5	5000	lgld							mana		15	15	res-pois		20	20	ac%		90	120	aura	Thorns	15	15	gethit-skill	Slow Missiles	4	5	dmg-ltng		50	280	ac		25	25	str	0	10	10	red-dmg		4	4	lifesteal		3	3	oskill	64	1	1	res-ltng	0	25	25		0
The Eye of Etlich	118	0	1			1		20	15	amu	Amulet		5	5000	dgld							att		632	632	str		11	15	thorns	0	16	16	manasteal		11	15	dmg-pois	75	40	40	swing2		25	25	half-freeze		1	1	dmg-demon		75	75	ltng-min		1	1	ltng-max		61	100	oskill	Heart of Wolverine	12	3	ac		100	100		0
The Mahim-Oak Curio	119	0	1			1		34	25	amu	Amulet		5	5000	lpur							att		50	50	res-all		15	15	deadly		55	55	nofreeze		1	1	ease		-100	-100	light		2	2	dru		2	2	slow		25	25	hp/lvl	8			dmg-ltng		50	75	manasteal		5	5	dmg%	0	10	20		0
Nagelring	120	0	1			1		10	7	rin	Ring		5	5000	dpur							dmg%		80	120	gold%		100	100	swing2		30	30	att%		100	100	ac%		180	200	res-cold		30	30	mana		15	15	ease		-40	-40	regen	0	5	5	ac		3	5	att-demon		51	100	res-all		50	50		0
Manald Heal	121	0	1			1		20	15	rin	Ring		5	5000	oran							dmg%		30	30	att-undead		100	100	res-pois		30	50	ac-miss		200	250	gold%		50	50	ignore-ac		1	1	ease		-40	-40	hit-skill	44	10	3	red-mag		10	10	att		41	60	skilltab	4	1	1	oskill	93	1	1		0
The Stone of Jordan	122	0	1			1		39	29	rin	Ring		5	5000	whit							openwounds		10	10	dmg%		120	120	mana		100	100	oskill	144	3	3	str		6	9	regen-stam		15	15	cold-min		1	2	cold-max		2	4	swing2		30	30	res-pois	0	12	12	hp		15	15	ignore-ac		1	1	1	0
Amulet of the Viper	123	0	1			1		0	0	vip	Amulet		5	5000	lgry							mana		10	10	res-pois		25	25	hp		10	10			0	0			0	0			0	0			0	0																						0
Staff of Kings	124	0	1			1		0	0	msf	Staff		5	5000	dgry							res-all		10	10	swing3		50	50			0	0			0	0			0	0			0	0			0	0																						0
Horadric Staff	125	0	1			1		0	0	hst	Staff		5	5000	blac							mana		10	10	res-pois		25	25	hp		10	10	res-all		10	10	swing3		50	50			0	0			0	0																						0
Hell Forge Hammer	126	0	1			1		0	0	hfh	Hammer		5	5000	cred							fire-min		5	5	fire-max		20	20	res-fire		40	40	ac		35	35			0	0			0	0			0	0																						0
KhalimFlail	127	0	1			1		0	0	qf1	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		20	20	swing3		50	50	att		40	40			0	0			0	0			0	0																						0
SuperKhalimFlail	128	0	1			1		0	0	qf2	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		40	40	swing3		50	50	att		40	40	manasteal		6	6	lifesteal		6	6			0	0																						0
Expansion																																																																							0
Coldkill	129	100	1			1		44	36	9ha	Hatchet		5	5000	cblu	cblu		invhaxu				thorns		3	10	res-cold		20	20	res-all		10	10	manasteal		6	6	crush		5	5	ac		170	210	vit		15	15	sor		1	1	nofreeze		1	1	dmg%	0	51	65	oskill	111	3	3	res-ltng	0	25	25		0
Butcher's Pupil	130	100	1			1		47	39	9ax	Cleaver		5	5000	cblu	cblu		invaxeu				mana	0	38	38	nec		2	3	red-mag		15	15	deadly		35	35	fire-min		1	1	fire-max		2	3	oskill	118	3	3	dmg%		100	100	res-all		25	30	res-pois		5	15	ac		33	40	ac%		60	60		0
Islestrike	131	100	1			1		51	43	92a	Twin Axe		5	5000								mana-kill		6	6	oskill	16	2	2	res-all		10	10	str		10	10	hit-skill	Twister	33	22	move2		20	20	half-freeze		1	1	att		81	100	res-cold		13	15	res-pois		4	7	skilltab	2	1	1	dex		10	15		0
Pompe's Wrath	132	100	1			1		53	45	9mp	Crowbill		5	5000	cred	cred		invmpiu				mana%		40	40	res-pois		45	45	ac/lvl	24			levelup-skill	Blizzard	100	40	balance3		60	60	oskill	Clay Golem	16	16	dmg-norm		10	20	skilltab	20	3	3	dmg-max		11	14	move3		30	30	regen		2	2	res-fire-max	0	10	10		0
Guardian Naga	133	100	1			1		56	48	9wa	Naga		5	5000								pierce-pois		20	25	skilltab	6	2	2	crush		40	40	gold%		100	100	red-mag		2	2	lifesteal		5	6	cold-min		3	3	cold-max		6	8	cold-len		25	25	res-fire		20	20	hp		10	10	res-all		50	50		0
Warlord's Trust	134	100	1			1		43	35	9la	Military Axe		5	5000	whit	whit						half-freeze		1	1	att		28	42	abs-fire%		10	15	block		25	25	res-ltng		25	25	fire-min		2	2	fire-max		6	11	state	fullsetgeneric	1	1	oskill	93	3	3	gold%		50	50	res-pois-len		50	50	hp		10	10		0
Spellsteel	135	100	1			1		47	39	9ba	Bearded Axe		5	5000	whit	whit						dmg-max		9	9	cold-min		2	2	cold-max		4	5	cold-len		25	25	red-dmg		15	20	ac		300	300	light		2	2	skilltab	9	3	3	oskill	238	5	5	hp		36	40	att/lvl	16			ignore-ac		1	1		0
Stormrider	136	100	1			1		49	41	9bt	Tabar		5	5000	lred	lred		inv9btu				slow		50	50	res-pois		50	50	dmg%		200	200	mana/lvl	16			heal-kill		10	14	reduce-ac		50	50	hp		75	75	dmg-demon		318	318	regen	0	3	3	lifesteal	0	3	3	dmg-max		6	9	oskill	55	6	6		0
Boneslayer Blade	137	100	1			1		50	42	9ga	Gothic Axe		5	5000				invgaxu				death-skill	Meteor	100	31	ltng-min		1	1	ltng-max		26	38	ac%		275	325	att		125	125	swing2		30	30	enr		20	20	skilltab	17	1	1	res-all		5	5	oskill	118	2	2	thorns		3	3	allskills		1	1		0
The Minataur	138	100	1			1		53	45	9gi	Ancient Axe		5	5000				inv9giu				res-pois		30	50	ac%		120	150	state	fullsetgeneric	1	1	ac		300	300	fire-min		1	1	fire-max		2	3	dex		16	20	res-all		40	40	manasteal		5	5	dmg-to-mana		7	12	dmg-norm		5	10	swing2		30	30		0
Suicide Branch	139	100	1			1		41	33	9wn	Burnt Wand		5	5000								fireskill		2	2	dur		30	30	att%		200	200	block2		30	30	deadly/lvl	3			res-fire		25	25	res-ltng		30	30	dmg-cold	50	25	35	str		10	10	att-demon		25	50	skilltab	14	2	2	red-dmg%		24	24		0
Carin Shard	140	100	1			1		43	35	9yw	Petrified Wand		5	5000	cblu	cblu						ac		25	35	mana		1	1	dmg-cold	75	3	5	gold%/lvl	15			cold-min		11	15	cold-max		21	30	light		-4	-4	oskill	34	4	4	dmg%		60	70	indestruct		1	1	att		70	70	str		15	15		0
Arm of King Leoric	141	100	1			1		44	36	9bw	Tomb Wand		5	5000				invbwnu				nofreeze		1	1	ease		-50	-50	ac%		160	220	hp		50	50	ac/lvl	30			att		75	75	gold%		56	56	noheal		1	1	mana		25	25	vit		10	10	res-fire		3	5	hp/lvl	6				0
Blackhand Key	142	100	1			1		49	41	9gw	Grave Wand		5	5000	blac	blac		inv9gwu				mana-kill		5	5	dmg-ltng		1	120	sock		2	2	half-freeze	0	1	1	mana		15	15	fire-min	0	5	5	fire-max	0	8	8	block		30	30	oskill	14	6	6	ac%		160	200	dex		2	2	regen		5	5		0
Dark Clan Crusher	143	100	1			1		42	34	9cl	Cudgel		5	5000	dgld	dgld		invclbu				red-mag		1	1	light-thorns		3	3	dmg-norm		20	30	att%		50	50	dmg-undead		100	200	allskills		2	2	crush		25	25	dmg%		300	350	dex		6	6	att		330	330	str		5	5	enr		11	15		0
Zakarum's Hand	144	100	1			1		45	37	9sc	Rune Scepter		5	5000	lpur	lpur						dmg-norm		20	40	thorns		15	15	allskills		1	1	res-cold		40	60	dmg%		350	400	res-fire		25	25	res-fire-max		5	5	dmg-min		5	8	res-ltng		21	30	dex		4	5	oskill	245	5	5	att%	0	40	40		0
The Fetid Sprinkler	145	100	1			1		46	38	9qs	Holy Water Sprinkler		5	5000								ac		10	10	hp		25	25	res-all		50	70	str		16	16	dmg%		300	350	sock		2	2	ac%		50	75	red-dmg		7	7	res-ltng		5	15	skilltab	20	3	3	dmg/lvl	6			dmg-pois	100	205	205		0
Hand of Blessed Light	146	100	1			1		50	42	9ws	Divine Scepter		5	5000	lyel							dmg%		50	50	ac		30	30	deadly		15	15	levelup-skill	Blizzard	100	40	red-dmg		2	2	ac/lvl	24			light		5	5	dmg-demon		200	200	skilltab	16	2	2	dmg-cold	25	1	1	res-all	0	10	10	dmg-undead		200	200		0
Fleshrender	147	100	1			1		46	38	9sp	Barbed Club		5	5000	blac			invspcu				ease		-50	-50	cast3		30	30	block2		30	30	dmg-demon		50	100	oskill	Attract	60	17	levelup-skill	Blizzard	100	40	ac		50	50	dmg-to-mana		20	20	att		50	50	gethit-skill	48	25	3	stam		11	20	half-freeze		1	1		0
Sureshrill Frost	148	100	1			1		47	39	9ma	Flanged Mace		5	5000								str		5	5	deadly		35	35	gethit-skill	62	3	6	pierce-immunity-light		300	300	dmg-demon		300	300	manasteal		10	10	hp		65	65	res-pois	0	11	20	stam		21	30	mana		24	29	swing2		30	30	state	fullsetgeneric	1	1		0
Moonfall	149	100	1			1		50	42	9mt	Jagged Star		5	5000				invmstu				crush		33	33	light		2	2	att		60	60	res-cold-max		5	5	dmg-ltng		23	333	dmg-undead		280	300	allskills		1	1	res-all		10	20	res-ltng-max		5	5	ac%		81	100	gold%		5	10	lifesteal		2	3		0
Baezil's Vortex	150	100	1			1		53	45	9fl	Knout		5	5000	dblu	dblu						mana		40	40	manasteal		4	7	dmg-ltng		1	212	hp		60	60	enr		15	15	dmg%		180	230	hit-skill	Poison Explosion	15	9	rep-dur	25			swing1		30	30	res-ltng		26	30	skilltab	7	1	1	str		1	2		0
Earthshaker	151	100	1			1		51	43	9wh	Battle Hammer		5	5000								hit-skill	92	5	8	swing2		30	30	res-fire-max		10	10	dmg%		130	180	str		10	20	att%		300	300	dex		6	6	reduce-ac		50	50	light		3	3	stam		180	180	balance3		20	20	hp		5	10		0
Bloodtree Stump	152	100	1			1		56	48	9m9	War Club		5	5000	dred							oskill	82	3	3	deadly		20	20	mag%		100	100	skilltab	9	2	4	light		5	5	dmg%		150	200	dmg-demon		50	100	fire-min		2	2	fire-max		3	5	gold%	0	75	75	mana-kill		2	2	ac		10	10		0
The Gavel of Pain	153	100	1			1		53	45	9gm	Martel de Fer		5	5000				inv9gmu				light-thorns		15	15	ac-miss		200	200	mana/lvl	16			ac%		200	200	swing3		30	40	crush		25	25	dex		10	10	mana		8	13	res-fire		11	12	dmg-max		3	4	hp		21	30	nofreeze		1	1		0
Bloodletter	154	100	1			1		38	30	9ss	Gladius		5	5000	cred	cred						pal		1	1	deadly		50	50	manasteal		6	8	res-cold		60	60	mana-kill		4	4	openwounds		33	33	dmg%		190	240	swing2		25	25	vit		30	40	res-all		10	20	res-fire-max		5	5	gethit-skill	42	25	5		0
Coldsteel Eye	155	100	1			1		39	31	9sm	Cutlass		5	5000	dgry			invscmu				light		3	3	str		10	10	slow		25	25	rep-dur	20			dmg-cold	3	24	38	mana	0	31	40	res-cold		8	10	dmg-demon		151	200	dmg-min		3	4	ease		-20	-20	hp		150	150	res-all		50	50		0
Hexfire	156	100	1			1		41	33	9sb	Shamshir		5	5000				invsbru				dmg%		160	220	openwounds		35	35	res-all		50	50	extra-cold		10	15	pierce-pois		3	5	ignore-ac		1	1	ac%		75	100	dmg-fire		211	397	res-pois	0	11	20	dmg-max		3	4	oskill	43	5	5	ac		150	150		0
Blade of Ali Baba	157	100	1			1		43	35	9fc	Tulwar		5	5000	cred	cred						noheal		1	1	sor		2	2	dex		12	12	gethit-skill	44	5	9	str		30	30	vit		12	12	hp		50	50	dmg%		33	33	att		75	75	manasteal		5	5	sock		3	3	skilltab	18	1	1		0
Ginther's Rift	158	100	1			1		45	37	9cr	Dimensional Blade		5	5000	cblu			inv9cru				dmg-pois	75	18	18	str		10	10	dmg-fire		12	17	dmg/lvl	6			res-cold		5	10	red-dmg		2	2	skilltab	7	2	2	openwounds		33	33	crush		40	40	ltng-min		1	1	ltng-max		12	12	oskill	86	5	5		0
Headstriker	159	100	1			1		47	39	9bs	Battle Sword		5	5000	bwht	bwht						res-all		10	20	manasteal		5	5	dmg%		150	200	skill-rand	3	36	60	kill-skill	Chain Lightning	50	20	indestruct		1	1	ac		4	6	dmg-demon		51	100	skilltab	1	1	1	dmg-undead		76	125	mana/lvl	2			lifesteal		14	14		0
Plague Bearer	160	100	1			1		49	41	9ls	Rune Sword		5	5000				inv9lsu				pois-min	0	143	143	pois-max	0	143	143	pois-len	0	179	179	freeze		3	3	mana		20	20	noheal		1	1	mana%		20	20	res-all		50	50	res-cold		13	15	abs-cold/lvl		2	2	red-mag		2	2	cast1		20	20		0
The Atlantian	161	100	1			1		50	42	9wd	Ancient Sword		5	5000	lblu	lblu						dmg%		70	70	balance2		20	20	res-fire		50	50	manasteal		6	6	allskills		1	1	res-pois-max		5	5	att		200	250	enr		15	15	res-all	0	6	6	mana	0	31	40	dmg-pois	75	41	41	dex		15	15		0
Crainte Vomir	162	100	1			1		50	42	92h	Espadon		5	5000	lgld			inv2hsu				ac%		130	160	skilltab	10	2	2	slow		25	25	att		110	110	regen		15	15	red-dmg		7	7	res-cold		5	10	dmg-max		6	7	oskill	21	3	3	lifesteal		2	3	block		30	30	manasteal	0	10	10		0
Bing Sz Wang	163	100	1			1		51	43	9cm	Dacian Falx		5	5000								ltng-min		1	6	ltng-max		41	120	dmg-undead		250	250	res-pois		30	30	red-dmg%		30	30	light-thorns		15	15	dmg-fire		12	17	ac		100	150	dmg%		165	165	manasteal		5	5	sor	0	2	2	res-all		15	15		0
The Vile Husk	164	100	1			1		52	44	9gs	Tusk Sword		5	5000	dgry	dgry		invgisu				crush		50	50	cast1		20	20	balance2		30	30	att-undead		150	250	str/lvl	6			att%		50	80	hit-skill	Quickness	5	1	indestruct		1	1	ac		500	500	mana		11	20	skilltab	8	1	1	oskill	6	10	10		0
Cloudcrack	165	100	1			1		53	45	9b9	Gothic Sword		5	5000				invbswu				dmg%		50	60	str		10	10	dmg-cold	50	3	5	light		-3	-3	mag%		30	60	red-mag		12	15	dmg-norm		25	50	swing2		20	20	dex	0	4	4	att		10	20	skilltab	19	1	1	hp		1	5		0
Todesfaelle Flamme	166	100	1			1		54	46	9fb	Zweihander		5	5000				inv9fbu				res-all		10	10	gold%		75	75	ac%		50	60	pal		2	2	thorns		5	5	lifesteal		5	9	skilltab	12	1	3	oskill	Lightning Mastery	1	2	res-fire	0	11	20	dmg%		66	80	mana%		20	20	ac		200	200		0
Swordguard	167	100	1			1		55	48	9gd	Executioner Sword		5	5000	bwht	bwht		invgsdu				light		-2	-2	dmg-fire		15	72	att%		200	200	ac		100	150	res-cold		-90	-70	oskill	42	2	2	dex		6	6	aura	Concentration	16	20	dmg%	0	10	20	red-dmg		4	7	balance3		24	24	noheal		1	1		0
Spineripper	168	100	1			1		40	32	9dg	Poignard		5	5000								light		3	3	res-all		8	8	crush		25	25	dmg-demon		300	300	ltng-min		1	1	ltng-max		16	16	ac%		20	20	block		20	20	indestruct		1	1	cast3		30	30	hp		40	40	dmg%		150	200		0
Heart Carver	169	100	1			1		44	36	9di	Rondel		5	5000								oskill	51	1	1	ac-miss		50	50	dmg-dem/lvl	12			ac%		120	150	levelup-skill	Blaze	100	29	dex		15	15	str		10	10	crush		20	20	res-cold	0	11	20	dmg%		81	100	ac/lvl	24			att		125	125		0
Blackbog's Sharp	170	100	1			1		46	38	9kr	Cinquedeas		5	5000				invkrsu				move2		25	25	dmg-to-mana		15	15	hp		15	15	oskill	47	7	7	dex		2	2	regen		5	5	ac%		30	30	light		5	5	dmg%		280	280	swing2		20	20	dmg-cold	150	10	30						0
Stormspike	171	100	1			1		49	41	9bl	Stilleto		5	5000	cblu	cblu		inv9blu				indestruct		1	1	mag%		25	25	openwounds		35	35	swing2		10	10	ac%		140	170	str		6	6	hit-skill	Ice Blast	18	20	deadly/lvl	3			bar		1	1	ease		-20	-20	res-fire	0	28	28	hp		100	100		0
The Impaler	172	100	1			1		39	31	9sr	War Spear		5	5000	lred	lred						dmg%		150	200	ac%		10	20	cold-min		1	1	cold-max		2	2	cold-len		25	25	regen		7	7	oskill	93	1	1	att		118	132	deadly		50	50	mana		35	35	enr		20	20	str		5	5		0
Kelpie Snare	173	100	1			1		41	33	9tr	Fuscina		5	5000				invtriu				noheal		1	1	red-mag		10	10	lifesteal		8	10	regen-mana		10	15	att%		180	250	aura	Might	17	17	thorns		20	20	mag%		25	25	dmg%	0	41	50	res-ltng		3	5	skilltab	19	1	1	att		200	200		0
Soulfeast Tine	174	100	1			1		43	35	9br	War Fork		5	5000	lyel	lyel		inv9bru				swing1		10	10	att		50	50	dex		5	5	regen-stam		15	15	oskill	74	12	4	dmg%		200	260	dmg-fire		150	210	allskills		1	1	hp		65	65	res-pois		30	30	red-mag		2	2	hp%		27	27		0
Hone Sundan	175	100	1			1		45	37	9st	Yari		5	5000								ignore-ac		1	1	mag%/lvl	8			nec		2	2	res-fire		-90	-70	heal-kill		14	14	dmg%		300	300	regen		20	20	ac%		75	100	att		6	12	dmg-pois	125	205	205	hp		6	10	oskill	38	6	6		0
Spire of Honor	176	100	1			1		47	39	9p9	Lance		5	5000	lgry	lgry						swing2		60	60	light		1	1	dmg-max		11	14	res-all		25	35	sor		1	1	fire-min		15	15	fire-max		30	50	openwounds		25	25	hit-skill	Life Tap	15	5	ac%		140	170	hp	0	31	31	oskill	Zeal	1	1		0
The Meat Scraper	177	100	1			1		49	41	9b7	Lochaber Axe		5	5000	dred	dred						allskills		1	1	dex		10	10	dmg-norm		20	32	swing3		30	30	ac-miss		250	250	balance2		30	30	dmg-pois	100	153	153	mana		40	40	hit-skill	Nova	25	9	att		6	12	dmg-min		1	2	oskill	77	7	7		0
Blackleach Blade	178	100	1			1		50	42	9vo	Bill		5	5000	blac	blac						att%		50	50	mana		36	36	res-fire		5	5	ac%		50	50	lifesteal		5	9	allskills		1	1	oskill	84	2	2	res-cold		40	50	ease		-20	-20	ac		44	50	balance1		10	10	thorns	0	12	12		0
